ticker,exchange,sector,enabled,notes,source,theme,reason,priority,datetime,price,ema20,dist_ema20_pct,day_pct,volume_so_far,session_high,session_low,setup_status,cross_up_recent,daily_close,daily_ema20,daily_dist_ema20_pct,atr14,daily_volume,tradingview_url
NVDA,NASDAQ,Semiconductors,1.0,AI leader,HOT_SECTOR+WATCHLIST,,,,2026-09-25 14:55:00-04:00,224.05,224.54869276649904,-0.22208669324902397,-0.42222222222221273,413786.0,226.94,223.13,BELOW_EMA20,True,224.10499572753906,222.03987817846408,0.9300660611131883,5.222648620605469,58303021.0,https://www.tradingview.com/chart/?symbol=NASDAQ:NVDA
MSFT,NASDAQ,Software / Cloud,1.0,Mega-cap cloud and AI,WATCHLIST,,,,2026-09-25 14:55:00-04:00,516.4,517.1191019236621,-0.13905924592364505,4.005961612052111,563528.0,519.4,496.09,BELOW_EMA20,False,515.8200073242188,499.09874389317093,3.3502916277879713,10.942147391183036,29597506.0,https://www.tradingview.com/chart/?symbol=NASDAQ:MSFT
AMAT,NASDAQ,Semiconductor Equipment,1.0,Semi equipment leader,WATCHLIST,,,,2026-09-25 14:55:00-04:00,483.9,484.2450195458889,-0.0712489611586431,0.9786941007074113,52867.0,486.99,475.99,BELOW_EMA20,True,485.4599914550781,461.70682896742755,5.144641793748805,18.179284232003347,2909181.0,https://www.tradingview.com/chart/?symbol=NASDAQ:AMAT
AAPL,NASDAQ,Technology Hardware,1.0,Mega-cap liquid,WATCHLIST,,,,2026-09-25 14:55:00-04:00,340.24,339.98478665888354,0.07506610622920462,1.515693996896994,322602.0,340.46,334.53,AT_EMA20,False,340.29998779296875,329.8979389510077,3.1531111940368506,6.728574480329241,17922061.0,https://www.tradingview.com/chart/?symbol=NASDAQ:AAPL
GOOGL,NASDAQ,Communication Services,1.0,Search cloud and AI,WATCHLIST,,,,2026-09-25 14:55:00-04:00,344.14,344.1095566946002,0.00884698050591659,0.4348460528235787,201606.0,347.03,341.11,NEAR_RETEST,True,344.3800048828125,343.8360938734539,0.15818903804754036,9.03928702218192,12971283.0,https://www.tradingview.com/chart/?symbol=NASDAQ:GOOGL
META,NASDAQ,Communication Services,1.0,Strong communication-services momentum,WATCHLIST,,,,2026-09-25 14:55:00-04:00,751.6,751.3732171055645,0.030182456503990984,-3.3423783742074886,374325.0,780.93,746.54,NEAR_RETEST,True,751.8826904296875,677.4052461228808,10.994518382176288,29.582109723772323,19199657.0,https://www.tradingview.com/chart/?symbol=NASDAQ:META
AMZN,NASDAQ,Consumer / Cloud,1.0,E-commerce and AWS,WATCHLIST,,,,2026-09-25 14:55:00-04:00,249.53,249.79381634369264,-0.10561364070343915,-0.3872255489021925,143168.0,251.5,247.18,BELOW_EMA20,False,249.68499755859375,253.92551032869284,-1.6699829665046129,5.324103219168527,22146940.0,https://www.tradingview.com/chart/?symbol=NASDAQ:AMZN
V,NYSE,Financial Services,1.0,Payments leader,WATCHLIST,,,,2026-09-25 14:55:00-04:00,367.4,367.6667963618694,-0.07256471471164261,0.03539630244779879,47947.0,368.34,363.79,BELOW_EMA20,False,367.2200012207031,369.4387312242623,-0.6005677845976387,5.676049368722098,2628871.0,https://www.tradingview.com/chart/?symbol=NYSE:V
LLY,NYSE,Healthcare,1.0,Pharma growth leader,WATCHLIST,,,,2026-09-25 14:55:00-04:00,1185.25,1178.5332420246402,0.5699252032824065,0.20459406677206804,18054.0,1190.0,1160.84,ABOVE_EMA20,False,1182.9451904296875,1162.0430661014755,1.7987392152630122,29.225716727120535,1144259.0,https://www.tradingview.com/chart/?symbol=NYSE:LLY
JNJ,NYSE,Healthcare,1.0,Large healthcare leader,WATCHLIST,,,,2026-09-25 14:55:00-04:00,270.94,270.535523046033,0.14950973883682828,0.0849617672047609,13758.0,272.25,269.25,NEAR_RETEST,False,270.57501220703125,268.9768497818524,0.5941635596055983,5.076331002371652,2310734.0,https://www.tradingview.com/chart/?symbol=NYSE:JNJ
XOM,NYSE,Energy,1.0,Large energy leader,WATCHLIST,,,,2026-09-25 14:55:00-04:00,160.53,160.3923850374158,0.08579893774389724,0.20599250936330638,31280.0,161.79,159.78,NEAR_RETEST,True,160.64999389648438,162.0986130567431,-0.8936653639051273,4.012855529785156,5749698.0,https://www.tradingview.com/chart/?symbol=NYSE:XOM
CVX,NYSE,Energy,1.0,Large integrated energy leader,WATCHLIST,,,,2026-09-25 14:55:00-04:00,204.29,204.03617185756733,0.12440350165452418,0.2404317958782931,24814.0,206.54,202.9,NEAR_RETEST,True,204.65499877929688,207.43423134848712,-1.339813853828764,4.777056012834821,4441849.0,https://www.tradingview.com/chart/?symbol=NYSE:CVX
CAT,NYSE,Industrials,1.0,Industrial bellwether,WATCHLIST,,,,2026-09-25 14:55:00-04:00,818.28,816.9277688459737,0.16552640338527436,0.9698674761234871,19000.0,823.0,806.0,NEAR_RETEST,True,819.1199951171875,809.7642451927968,1.1553671306101077,20.4857177734375,1130798.0,https://www.tradingview.com/chart/?symbol=NYSE:CAT
COST,NASDAQ,Consumer Staples,1.0,Quality retail,WATCHLIST,,,,2026-09-25 14:55:00-04:00,920.55,920.9545875435772,-0.043931323981605264,2.6849455648759513,60811.0,923.84,883.1,BELOW_EMA20,False,920.0499877929688,913.3485882924073,0.7337176173984661,13.625719342912946,3475307.0,https://www.tradingview.com/chart/?symbol=NASDAQ:COST
WMT,NYSE,Consumer Staples,1.0,Large defensive retailer,WATCHLIST,,,,2026-09-25 14:55:00-04:00,107.89,107.8598226813926,0.027978275744566794,0.36279069767441996,73296.0,108.02,106.44,AT_EMA20,False,107.86000061035156,108.03318373288506,-0.16030548813751322,1.8092858450753349,10865176.0,https://www.tradingview.com/chart/?symbol=NYSE:WMT
AMD,NASDAQ,Semiconductors,1.0,,HOT_SECTOR,AI Chips,High-beta AI chip leader,HIGH,2026-09-25 14:55:00-04:00,629.62,630.0727567969728,-0.07185785960250879,-2.042784908595874,89396.0,645.35,625.52,BELOW_EMA20,True,629.630126953125,551.2113502556338,14.22662589606023,26.209274291992188,13771841.0,https://www.tradingview.com/chart/?symbol=NASDAQ:AMD
ARM,NASDAQ,Semiconductors,1.0,,HOT_SECTOR,AI Chips,AI compute architecture momentum,HIGH,2026-09-25 14:55:00-04:00,312.73,314.55532341660364,-0.5802869259300736,-0.46468697285081406,34502.0,325.48,310.75,BELOW_EMA20,False,312.45001220703125,280.9569713270731,11.20920428890011,19.44486345563616,5571190.0,https://www.tradingview.com/chart/?symbol=NASDAQ:ARM
MU,NASDAQ,Semiconductors,1.0,,HOT_SECTOR,Memory AI,AI memory and HBM theme,HIGH,2026-09-25 14:55:00-04:00,1083.25,1082.6343150873165,0.05686914816049882,-0.800373629795148,293807.0,1108.72,1073.0,NEAR_RETEST,True,1085.1700439453125,1009.6861789493435,7.475972888379623,44.57071794782366,15924819.0,https://www.tradingview.com/chart/?symbol=NASDAQ:MU
AVGO,NASDAQ,Semiconductors,1.0,,HOT_SECTOR,AI Infrastructure,AI networking and custom silicon,HIGH,2026-09-25 14:55:00-04:00,352.17,352.76094463897795,-0.16751985954190918,-0.7608419984783121,192063.0,356.2,349.43,BELOW_EMA20,True,352.239990234375,358.5093663442875,-1.7487342587004684,10.15214102608817,10700950.0,https://www.tradingview.com/chart/?symbol=NASDAQ:AVGO
SMCI,NASDAQ,Technology,1.0,,HOT_SECTOR,AI Infrastructure,AI server infrastructure,MEDIUM,2026-09-25 14:55:00-04:00,43.19,43.23606997879526,-0.10655450141017209,2.589073634204264,362943.0,43.76,41.64,BELOW_EMA20,False,43.02199935913086,39.6394210351833,8.53336964973641,2.3242781502859935,42591926.0,https://www.tradingview.com/chart/?symbol=NASDAQ:SMCI
AESI,,,,,GAPUP,,,,2026-09-25 14:55:00-04:00,12.62,12.617075512935045,0.02317880290052532,1.8563357546408366,76739.0,13.34,11.6,NEAR_RETEST,True,12.602299690246582,12.81261454821227,-1.6414671429808458,0.9160715511866978,9088314.0,https://www.tradingview.com/chart/?symbol=NONE:AESI
